DateTime,MSDH01,MSDH03(Virtual),MSJE01,MSJE02,MSJH01,MSJH02,MSMH01(Virtual),MSRE01,MSRE02,MSRH01,MSRH02,MSRH04(Virtual)
11-Nov,3777,13830,2149,5685,5081,4273,16636,3029,1424,5263,4421,16466
12 AM,167,658,163,351,187,145,709,132,45,223,205,652
1 AM,168,551,92,305,160,137,654,101,11,196,162,622
2 AM,153,456,83,187,150,140,495,102,22,168,138,469
3 AM,117,394,64,144,127,135,425,97,13,151,142,449
4 AM,147,427,53,165,121,108,527,81,3,148,130,440
5 AM,164,559,58,244,163,137,535,112,3,140,157,555
6 AM,180,500,49,155,193,128,554,158,180,196,178,560
7 AM,192,486,49,206,155,122,538,64,165,190,144,520
8 AM,182,491,79,373,184,121,539,43,86,169,144,489
9 AM,212,548,74,231,229,150,641,116,48,202,171,562
10 AM,228,606,73,233,193,162,642,103,83,224,169,677
11 AM,252,677,87,218,242,183,659,110,120,246,206,737
12 PM,178,724,74,247,242,214,742,126,206,268,175,785
1 PM,160,731,93,258,235,191,821,85,202,256,196,815
2 PM,163,659,87,215,228,206,786,121,87,262,194,843
3 PM,162,708,142,344,217,242,790,76,10,282,213,846
4 PM,136,600,108,341,253,252,808,103,3,236,193,848
5 PM,136,539,89,164,257,193,839,136,7,246,204,729
6 PM,118,559,93,157,265,237,847,161,5,236,222,849
7 PM,103,551,80,207,259,212,870,279,6,229,206,782
8 PM,95,558,64,222,244,207,862,343,15,275,217,863
9 PM,98,591,131,306,260,221,850,181,90,237,205,822
10 PM,119,611,147,252,300,227,814,108,8,245,238,790
11 PM,147,646,117,160,217,203,689,91,6,238,212,762
12-Nov,3680,14432,2475,5239,5150,4461,16525,3116,226,5595,4522,15851
12 AM,227,676,129,185,188,173,711,113,10,220,157,713
1 AM,167,548,85,256,162,160,542,83,11,217,151,559
2 AM,156,449,119,177,144,141,510,74,9,139,137,526
3 AM,121,462,54,139,129,106,458,55,9,163,137,450
4 AM,153,391,57,98,121,128,460,56,8,157,157,460
5 AM,160,519,79,111,171,143,571,62,3,187,146,500
6 AM,172,535,56,101,171,166,542,63,4,203,179,523
7 AM,165,513,66,122,149,127,527,65,6,162,167,537
8 AM,161,505,74,107,161,131,543,54,7,160,171,474
9 AM,197,529,72,141,180,150,588,48,7,185,179,556
10 AM,184,554,68,246,206,150,621,67,6,218,204,634
11 AM,234,646,85,202,253,182,671,67,13,255,235,695
12 PM,192,729,96,271,228,188,805,96,8,254,201,720
1 PM,163,772,99,222,247,220,813,156,8,274,214,798
2 PM,151,690,104,253,279,207,840,141,11,288,229,807
3 PM,148,743,100,249,281,238,868,183,14,286,205,759
4 PM,126,645,110,265,252,244,795,210,13,276,199,786
5 PM,115,576,97,345,261,213,829,286,9,274,208,756
6 PM,107,618,83,149,252,289,829,251,13,296,187,812
7 PM,97,658,127,283,279,214,866,336,16,255,209,785
8 PM,112,680,248,299,273,227,849,171,7,308,212,815
9 PM,111,627,111,353,274,221,782,172,17,297,230,729
10 PM,129,637,189,399,265,240,813,219,13,242,192,738
11 PM,132,730,167,266,224,203,692,88,4,279,216,719
